DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR10,2010,77.5,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR21,2010,76.3,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR22,2010,76.3,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR31,2010,77.6,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR32,2010,77.7,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR33,2010,76.3,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR41,2010,76.3,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR42,2010,76.6,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR51,2010,78.1,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR52,2010,76.4,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR61,2010,77.9,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR62,2010,76.6,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR63,2010,77.4,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR71,2010,76.4,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR72,2010,76.6,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR81,2010,76.8,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR82,2010,76.8,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR83,2010,76.7,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TR90,2010,78.4,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TRA1,2010,76.4,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TRA2,2010,74.4,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TRB1,2010,76.9,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TRB2,2010,74.0,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TRC1,2010,76.2,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TRC2,2010,75.4,
ESTAT:DEMO_R_MLIFEXP(1.0),06/07/23 11:00:00,A,YR,T,Y_LT1,TRC3,2010,76.7,
